//Title; Authors;Year;File
The Path to Post-Galilean Epistemology;Danilo Capecchi;2008;978-3-319-58310-5.pdf
Functional Numerical Methods: Applications to Abstract Fractional Calculus;Prof. George A. AnastassiouIoannis K. Argyros;2002;978-3-319-69526-6.pdf
Advance Compression and Watermarking Technique for Speech Signals;Dr. Rohit ThankiDr. Komal BorisagarSurekha Borra;2000;978-3-319-69069-8.pdf
Ensembles of Type 2 Fuzzy Neural Models and Their Optimization with Bio-Inspired Algorithms for Time Series Prediction;Dr. Jesus SotoProf. Patricia MelinProf. Dr. Oscar Castillo;2006;978-3-319-71264-2.pdf
Advances in Ergonomics in Design;Francisco RebeloMarcelo Soares;2003;978-3-319-60582-1.pdf
Advanced Ceramic and Metallic Coating and Thin Film Materials for Energy and Environmental Applications;Jing ZhangYeon-Gil Jung;2007;978-3-319-59906-9.pdf
Human Factors and Reliability Engineering for Safety and Security in Critical Infrastructures;Prof. Fabio De FeliceProf. Antonella Petrillo;2005;978-3-319-62319-1.pdf
Information Systems Architecture and Technology: Proceedings of 38th International Conference on Information Systems Architecture and Technology éˆ¥?ISAT 2017;Leszek BorzemskiJerzy è‰¢wiè†®tekZofia Wilimowska;2000;978-3-319-67220-5.pdf
High Voltage Engineering;Andreas Kçœ‰chler;2007;978-3-642-11993-4.pdf
Computational Kinematics;SaèŒ‚d ZeghloulLotfi RomdhaneMed Amine Laribi;2005;978-3-319-60867-9.pdf
Comprehensive Energy Management - Safe Adaptation, Predictive Control and Thermal Management;Daniel WatzenigBernhard Brandstç›²tter;2007;978-3-319-57445-5.pdf
Aerial Manipulation;Matko OrsagProf. Christopher KorpelaProf. Paul OhProf. Stjepan Bogdan;2006;978-3-319-61022-1.pdf
Mechanisms, Transmissions and Applications;Mehmet Ismet Can DedeMehmet é™ŒtikErwin-Christian LovaszGæžškhan Kiper;2004;978-3-319-60702-3.pdf
Advances in Internetworking, Data & Web Technologies;Leonard BarolliMingwu ZhangXu An Wang;2006;978-3-319-59463-7.pdf
Micro and Nanomanufacturing Volume II;Dr. Mark J. JacksonWaqar Ahmed;2002;978-3-319-67132-1.pdf
The Role of Mechanics in the Study of Lipid Bilayers;David J. Steigmann;2004;978-3-319-56348-0.pdf
Road Vehicle Automation 4;Gereon MeyerSven Beiker;2006;978-3-319-60934-8.pdf
IT Convergence and Security 2017;Dr. Kuinam J. KimProf. Hyuncheol KimProf. Dr. Nakhoon Baek;2004;978-981-10-6451-7.pdf
Advances in Robot Kinematics 2016;Jadran Lenarè†•iè†•Jean-Pierre Merlet;2008;978-3-319-56802-7.pdf
Computational Acoustics;Manfred Kaltenbacher;2008;978-3-319-59038-7.pdf
Introduction to Multiphase Flow;Prof. George YadigarogluProf. Geoffrey F. Hewitt;2002;978-3-319-58718-9.pdf
Dedicated Mobile Communications for High-speed Railway;Zhang-Dui ZhongBo AiGang ZhuHao WuLei XiongFang-Gang WangLei LeiJian-Wen DingKe GuanRui-Si He;2001;978-3-662-54860-8.pdf
Low-Power Design and Power-Aware Verification;Progyna Khondkar;2008;978-3-319-66619-8.pdf
Proceedings of ELM-2016;Jiuwen CaoErik CambriaAmaury LendasseYoan MicheChi Man Vong;2006;978-3-319-57421-9.pdf
Biologically Inspired Cognitive Architectures (BICA) for Young Scientists;Alexei V. SamsonovichValentin V. Klimov;2008;978-3-319-63940-6.pdf
Integration, Interconnection, and Interoperability of IoT Systems;Prof. Raffaele GravinaProf. Carlos E. PalauMarco MansoProf. Dr. Antonio LiottaProf. Giancarlo Fortino;2000;978-3-319-61300-0.pdf
Non-Local Partial Differential Equations for Engineering and Biology;Dr. Nikos I. KavallarisProf. Dr. Takashi Suzuki;2007;978-3-319-67944-0.pdf
Intelligent Control Design and MATLAB Simulation;Jinkun Liu;2008;978-981-10-5263-7.pdf
Internet of Things and Big Data Analytics Toward Next-Generation Intelligence;Prof. Dr. Nilanjan DeyProf. Dr. Aboul Ella HassanienPh.D. Chintan BhattDr. Amira S. AshourProf. Suresh Chandra Satapathy;2008;978-3-319-60435-0.pdf
Proceedings of the International Conference on Advanced Intelligent Systems and Informatics 2017;Prof. Aboul Ella HassanienKhaled ShaalanTarek GaberMohamed F. Tolba;2005;978-3-319-64861-3.pdf
Canonical Correlation Analysis in Speech Enhancement;Prof. Dr. Jacob BenestyProf. Dr. Israel Cohen;2007;978-3-319-67020-1.pdf
Space Science and Communication for Sustainability;Prof. Dr. Wayan SupartaProf. Dr. Mardina AbdullahProf. Dr. Mahamod Ismail;2003;978-981-10-6574-3.pdf
Advances in Human Factors in Sports, Injury Prevention and Outdoor Recreation;Tareq Ahram;2005;978-3-319-60822-8.pdf
MES Compendium;Jçœ‰rgen KlettiDr. Rainer Deisenroth;2009;978-3-662-54983-4.pdf
Modeling and Simulation in Industrial Engineering;Prof. Dr. Mangey RamProf. J. Paulo Davim;2004;978-3-319-60432-9.pdf
Recent Developments in Mechatronics and Intelligent Robotics;Feng QiaoProf. Srikanta PatnaikJohn Wang;2005;978-3-319-70990-1.pdf
Applied Computational Intelligence and Mathematical Methods;Radek SilhavyPetr SilhavyZdenka Prokopova;2006;978-3-319-67621-0.pdf
Statistical Physics for Electrical Engineering;Prof. Neri Merhav;2004;978-3-319-62063-3.pdf
Stability Analysis of Markovian Jump Systems;Yu KangYun-Bo ZhaoPing Zhao;2002;978-981-10-3860-0.pdf
Plasticity and Fracture;Prof. Dr. Wolfgang Brocks;2002;978-3-319-62752-6.pdf
Computer Supported Qualitative Research;Antè´¸nio Pedro CostaLué“†s  Paulo ReisFrancislé”š Neri de SouzaAntè´¸nio Moreira;2008;978-3-319-61121-1.pdf
3D TCAD Simulation for CMOS Nanoeletronic Devices;Yung-Chun WuYi-Ruei Jhan;2007;978-981-10-3066-6.pdf
Computer Vision in Control Systems-3;Prof. Margarita N. FavorskayaProf. Lakhmi C. Jain;2006;978-3-319-67516-9.pdf
Information and Communication Technology for Intelligent Systems (ICTIS 2017) - Volume 1;Prof. Dr. Suresh Chandra SatapathyAmit Joshi;2007;978-3-319-63673-3.pdf
Ultra Low Noise CMOS Image Sensors;Dr. Assim Boukhayma;2002;978-3-319-68774-2.pdf
Anisotropic Elasticity;Paolo Vannucci;2005;978-981-10-5439-6.pdf
Advances in Variable Structure Systems and Sliding Mode Controléˆ¥æ“³heory and Applications;Shihua LiXinghuo YuLeonid FridmanZhihong ManXiangyu Wang;2009;978-3-319-62896-7.pdf
Inspired by Nature;Prof. Susan StepneyProf. Andrew Adamatzky;2004;978-3-319-67997-6.pdf
Analytical Modelling of Breakdown Effect in Graphene Nanoribbon Field Effect Transistor;Prof. Dr. Iraj Sadegh AmiriProf. Dr. Mahdiar Ghadiry;2004;978-981-10-6550-7.pdf
Engineering Asset Management 2016;Ming J. ZuoLin MaJoseph MathewHong-Zhong Huang;2002;978-3-319-62274-3.pdf
Nonlinear Systems and Circuits in Internal Combustion Engines;Dr. Ferdinando Taglialatela-ScafatiDr. Mario LavorgnaDr. Ezio MancarusoDr. Bianca Maria Vaglieco;2008;978-3-319-67140-6.pdf
Saturated Control of Linear Systems;Abdellah BenzaouiaProf. Fouad MesquineProf. Mohamed Benhayoun;2003;978-3-319-65990-9.pdf
Robotics in Education;Wilfried LepuschitzMunir MerdanGottfried KoppensteinerRichard BaloghDavid Obdrå•ªè°©lek;2005;978-3-319-62875-2.pdf
Modeling Steel Deformation in the Semi-Solid State;Dr. Marcin Hojny;2008;978-3-319-67976-1.pdf
Dynamic Interaction of Train-Bridge Systems in High-Speed Railways;He XiaNan ZhangWeiwei Guo;2006;978-3-662-54871-4.pdf
Qualitative and Quantitative Analysis of Nonlinear Systems;Michael Z. ZgurovskyPavlo O. Kasyanov;2001;978-3-319-59840-6.pdf
Formal Methods for Safety and Security;Manju NandaDr. Yogananda Jeppu;2003;978-981-10-4121-1.pdf
Advances in Dependability Engineering of Complex Systems;Wojciech ZamojskiJacek MazurkiewiczJarosè‰‚aw SugierTomasz WalkowiakJanusz Kacprzyk;2002;978-3-319-59415-6.pdf
Mathematical Analysis of Continuum Mechanics and Industrial Applications II;Dr. Patrick van MeursProf. Masato KimuraProf. Hirofumi Notsu;2005;978-981-10-6283-4.pdf
Randomness and Hyper-randomness;Prof. Igor I. Gorban;2001;978-3-319-60780-1.pdf
Cardiac Cell Culture Technologies;Prof. Zbigniew BrzozkaElzbieta Jastrzebska;2007;978-3-319-70685-6.pdf
Cybernetics Approaches in Intelligent Systems;Radek SilhavyPetr SilhavyZdenka Prokopova;2003;978-3-319-67618-0.pdf
Innovations in Biomedical Engineering;Prof. Marek GzikProf. Ewaryst TkaczProf. Zbigniew PaszendaProf. Ewa Piè‡‹tka;2002;978-3-319-70063-2.pdf
Soft Computing for Sustainability Science;Carlos Cruz Corona;2002;978-3-319-62359-7.pdf
Canonical Instabilities of Autonomous Vehicle Systems;Dr. Rodrick Wallace;2002;978-3-319-69935-6.pdf
Design and Modeling of Mechanical Systemséˆ¥æ“¨II;Mohamed HaddarDr. Fakher ChaariAbdelmajid BenamaraMnaouar ChouchaneChafik KarraNizar Aifaoui;2009;978-3-319-66697-6.pdf
Intelligent Transportation Systems;Prof. Dr. Syed Faraz HasanNazmul SiddiqueDr. Shyam Chakraborty;2000;978-3-319-64057-0.pdf
Advances in Human Factors in Training, Education, and Learning Sciences;Terence Andre;2004;978-3-319-60018-5.pdf
Sensors and Image Processing;Prof. Dr. Shabana UroojProf. Dr. Jitendra Virmani;2001;978-981-10-6614-6.pdf
Cable-Driven Parallel Robots;ClèŒ…ment GosselinPhilippe CardouTobias BruckmannAndreas Pott;2007;978-3-319-61431-1.pdf
Environmental Vibrations and Transportation Geodynamics;Xuecheng BianYunmin ChenXiaowei Ye;2001;978-981-10-4508-0.pdf
Fuzzy Logic in Intelligent System Design;Prof. Dr. Patricia MelinProf. Dr. Oscar CastilloJanusz KacprzykMarek ReformatWilliam Melek;2008;978-3-319-67137-6.pdf
Progress in Intelligent Computing Techniques: Theory, Practice, and Applications;Dr. Pankaj Kumar SaDr. Manmath Narayan SahooDr. M. MurugappanDr. Yulei WuDr. Banshidhar Majhi;2003;978-981-10-3376-6.pdf
Topology Optimization Theory for Laminar Flow;Yongbo DengYihui WuZhenyu Liu;2009;978-981-10-4687-2.pdf
Fuzzy Dual Numbers;Felix Mora-CaminoCarlos Alberto Nunes Cosenza;2009;978-3-319-65418-8.pdf
Logic Synthesis for Finite State Machines Based on Linear Chains of States;Alexander BarkalovLarysa TitarenkoJacek Bieganowski;2007;978-3-319-59837-6.pdf
Resource Management for Heterogeneous Wireless Networks;Dr. Amila Tharaperiya GamageDr. Xuemin (Sherman) Shen;2000;978-3-319-64268-0.pdf
Emerging Ideas on Information Filtering and Retrieval;Prof. Dr. Cristian LaiProf. Dr. Alessandro GiulianiProf. Dr. Giovanni Semeraro;2002;978-3-319-68392-8.pdf
Predictive Econometrics and Big Data;Vladik KreinovichSongsak SriboonchittaNopasit Chakpitak;2009;978-3-319-70942-0.pdf
Processing Medical Thermal Images;Robert Koprowski;2001;978-3-319-61340-6.pdf
An Introduction to Soil Mechanics;Prof. Dr. Arnold Verruijt;2003;978-3-319-61185-3.pdf
Advances in Condition Monitoring of Machinery in Non-Stationary Operations;Anna TimofiejczukProf. Fakher ChaariProf. Radoslaw ZimrozProf. Walter BartelmusProf. Mohamed Haddar;2007;978-3-319-61927-9.pdf
Advanced Logic Synthesis;AndrèŒ… Inè°©cio ReisRolf Drechsler;2003;978-3-319-67295-3.pdf
Automotive Systems Engineering II;Prof. Dr. Hermann WinnerProf. Dr. Gçœ‰nther ProkopProf. Dr. Markus Maurer;2003;978-3-319-61607-0.pdf
Mixing and Dispersion in Flows Dominated by Rotation and Buoyancy;Prof. Herman J.H. ClercxProf. GertJan F. Van Heijst;2002;978-3-319-66887-1.pdf
Regularity and Stochasticity of Nonlinear Dynamical Systems;Dimitri VolchenkovXavier Leoncini;2009;978-3-319-58062-3.pdf
Turbulence and Interactions;Prof. Michel O. DevilleDr. Vincent CouaillierDr. Jean-Luc EstivalezesDr. Vincent GleizeDr. Thié”šn Hié”špLé”šDr. Marc TerracolProf. Dr. StèŒ…phane Vincent;2000;978-3-319-60387-2.pdf
Thermal Effects in Complex Machining Processes;Prof. Dr. D BiermannF Hollmann;2009;978-3-319-57120-1.pdf
Industry Interactive Innovations in Science, Engineering and Technology;Dr. Swapan BhattacharyyaDr. Sabyasachi SenDr. Meghamala DuttaDr. Papun BiswasDr. Himadri Chattopadhyay;2007;978-981-10-3953-9.pdf
Finite Element Concepts;Gautam Dasgupta;2001;978-1-4939-7423-8.pdf
Communications, Signal Processing, and Systems;Qilian LiangJiasong MuDr. Wei WangBaoju Zhang;2006;978-981-10-3229-5.pdf
Principles of River Hydraulics;Aronne Armanini;2003;978-3-319-68101-6.pdf
AI Injected e-Learning;Dr. Matthew Montebello;2003;978-3-319-67928-0.pdf
Materials Characterisation and Mechanism of Micro-Cutting in Ultra-Precision Diamond Turning;Sandy Suet ToHao WangWing Bing Lee;2002;978-3-662-54823-3.pdf
Informatics in Control, Automation and Robotics;Prof. Kurosh MadaniDr. Dimitri PeaucelleProf. Dr. Oleg Gusikhin;2000;978-3-319-55011-4.pdf
Proceedings of the 4th CongrçŒ«s International de GèŒ…otechnique - Ouvrages -Structures;Hoang-Hung Tran-NguyenProf. Henry WongFrederic RagueneauCuong Ha-Minh;2007;978-981-10-6713-6.pdf
Innovation for Engineers;Dr. Mehran Mehregany;2005;978-3-319-66529-0.pdf
Memristor Technology: Synthesis and Modeling for Sensing and Security Applications;Heba AbunahlaBaker Mohammad;2006;978-3-319-65699-1.pdf
Information and Communication Technology for Sustainable Development;Dr. Durgesh Kumar MishraDr. Malaya Kumar NayakAmit Joshi;2008;978-981-10-3932-4.pdf
Challenges in Mechanics of Time Dependent Materials, Volume 2;Alex ArzoumanidisMeredith SilbersteinProf. Alireza Amirkhizi;2004;978-3-319-63393-0.pdf
Proceedings of the International Conference of Mechatronics and Cyber-MixMechatronics - 2017;Dr. Gheorghe I. Gheorghe;2006;978-3-319-63091-5.pdf
Mobile Big Data;Georgios SkourletopoulosGeorge MastorakisDr. Constandinos X. MavromoustakisCiprian DobreEvangelos Pallis;2002;978-3-319-67925-9.pdf
Submodular Rate Region Models for Multicast Communication in Wireless Networks;Dr. Maximilian Riemensberger;2009;978-3-319-65232-0.pdf
Theory of Elastic Oscillations;Prof. Dr. Vladimir Fridman;2008;978-981-10-4786-2.pdf
Computer Systems;Ata Elahi;2008;978-3-319-66775-1.pdf
Aesthetics: Quantification and Deconstruction;Dr. Sushil Chandra;2002;978-981-10-6235-3.pdf
Nanoelectronic Materials and Devices;Prof. Christophe LabbèŒ…Prof. Dr. Subhananda ChakrabartiDr. Gargi RainaDr. B. Bindu;2004;978-981-10-7191-1.pdf
The Theory of Info-Statics: Conceptual Foundations of Information and Knowledge;Kofi K. Dompere;2009;978-3-319-61639-1.pdf
The Mechanics of Jointed Structures;Matthew R.W. Brake;2003;978-3-319-56818-8.pdf
Cancellous Bone;Prof. Dr. Ardiyansyah SyahromMohd Al-Fatihhi bin Mohd Szali JanuddiDr. Muhamad Noor HarunProf. Dr. Andreas è„°chsner;2005;978-981-10-5472-3.pdf
International Conference on Information Technology and Communication Systems;Gherabi NoreddineJanusz Kacprzyk;2001;978-3-319-64719-7.pdf
The Ageing of Materials and Structures;Prof. Dr. Klaas van BreugelProf. Dessi KolevaProf. Dr. Ton Beek;2005;978-3-319-70194-3.pdf
Cloud-Based Cyber-Physical Systems in Manufacturing;Prof. Lihui WangDr. Xi Vincent Wang;2006;978-3-319-67693-7.pdf
Biologically Rationalized Computing Techniques For Image Processing Applications;Jude HemanthProf. Dr. Valentina Emilia Balas;2000;978-3-319-61316-1.pdf
An Economic Analysis on Automated Construction Safety;Rita Yi Man Li;2002;978-981-10-5771-7.pdf
A Survey on Coordinated Power Management in Multi-Tenant Data Centers;Dr. Thant Zin OoDr. Nguyen H. TranDr. Shaolei RenChoong Seon Hong;2007;978-3-319-66062-2.pdf
Advances in The Human Side of Service Engineering;Louis E. FreundWojciech Cellary;2009;978-3-319-60486-2.pdf
International Conference on Applications and Techniques in Cyber Security and Intelligence;Prof. Jemal AbawajyKim-Kwang Raymond ChooDr. Rafiqul Islam;2008;978-3-319-67071-3.pdf
Designing Better Services;Dr. Francesca FoglieniDr. Beatrice VillariProf. Stefano Maffei;2008;978-3-319-63179-0.pdf
Smart Sensors at the IoT Frontier;Hiroto YasuuraChong-Min KyungYongpan LiuYoun-Long Lin;2001;978-3-319-55345-0.pdf
Kinesthetic Perception;Prof. Subhasis ChaudhuriAmit Bhardwaj;2006;978-981-10-6692-4.pdf
Topic Detection and Classification in Social Networks;Dr. Dimitrios Milioris;2008;978-3-319-66414-9.pdf
Emerging Research in Computing, Information, Communication and Applications;Prof. Dr. N. R. ShettyProf. Dr. L. M. PatnaikDr. N. H. PrasadN. Nalini;2003;978-981-10-4741-1.pdf
Smart Cities;Stan McClellanJesus A. JimenezGeorge Koutitas;2009;978-3-319-59381-4.pdf
Multi-Disciplinary Digital Signal Processing;Dr. E. S. Gopi;2005;978-3-319-57430-1.pdf
Micro and Precision Manufacturing;Dr. Kapil Gupta;2005;978-3-319-68801-5.pdf
Computational Ship Design;Prof. Myung-Il RohProf. Kyu-Yeul Lee;2007;978-981-10-4885-2.pdf
Linear and Non-linear Mechanical Behavior of Solid Materials;Christian Lexcellent;2000;978-3-319-55609-3.pdf
Proceedings of 2017 Chinese Intelligent Systems Conference;Prof. Dr. Yingmin JiaProf. Dr. Junping DuWeicun Zhang;2005;978-981-10-6499-9.pdf
New Results in Numerical and Experimental Fluid Mechanics XI;Prof. Dr. Dr. Andreas DillmannDr. Gerd HellerProf. Dr. Ewald Krç›²merProf. Dr. Claus WagnerDr. Stephan BansmerProf. Dr. Rolf RadespielDr. Richard Semaan;2004;978-3-319-64519-3.pdf
Navigation and Guidance of Orbital Transfer Vehicle;Prof. Xuefeng LiChaobing Li;2001;978-981-10-6334-3.pdf
Advances in Gain-Scheduling and Fault Tolerant Control Techniques;Damiano Rotondo;2001;978-3-319-62902-5.pdf
Advances in Internal Combustion Engine Research;Prof. Dr. Dhananjay Kumar SrivastavaProf. Dr. Avinash Kumar AgarwalProf. Dr. Amitava DattaProf. Dr. Rakesh Kumar Maurya;2001;978-981-10-7575-9.pdf
Propagation and Extinction Studies of Laminar Lean Premixed Syngas/Air Flames;Dr. Yang Zhang;2002;978-981-10-4615-5.pdf
Adaptive Interference Mitigation in GNSS;Renbiao WuWenyi WangDan LuLu WangQiongqiong Jia;2000;978-981-10-5571-3.pdf
Advances in Human Aspects of Transportation;Prof. Dr. Dr. Neville A Stanton;2009;978-3-319-60441-1.pdf
Modeling Transport Phenomena in Porous Media with Applications;Prof. Malay K. DasProf. Partha P. MukherjeeProf. K. Muralidhar;2007;978-3-319-69866-3.pdf
Advances in Neural Computation, Machine Learning, and Cognitive Research;Boris KryzhanovskyWitali Dunin-BarkowskiVladimir Redko;2008;978-3-319-66604-4.pdf
Man-Machine Interactions 5;Aleksandra GrucaTadeusz Czachè´¸rskiKatarzyna HarezlakStanisè‰‚aw KozielskiAgnieszka Piotrowska;2001;978-3-319-67792-7.pdf
Advances in Human Factors in Cybersecurity;Denise Nicholson;2003;978-3-319-60585-2.pdf
2nd International Conference for Innovation in Biomedical Engineering and Life Sciences;Prof. Fatimah IbrahimDr. Juliana UsmanDr. Mohd Yazed AhmadDr. Norhamizan HamzahDr. Swe Jyan Teh;2004;978-981-10-7554-4.pdf
Information Systems Architecture and Technology: Proceedings of 38th International Conference on Information Systems Architecture and Technology éˆ¥?ISAT 2017;Zofia WilimowskaLeszek BorzemskiJerzy è‰¢wiè†®tek;2000;978-3-319-67223-6.pdf
Proceedings of International Conference on Cognition and Recognition;Prof. Dr. D. S. GuruDr. T. VasudevDr. H.K. ChethanDr. Y.H. Sharath Kumar;2000;978-981-10-5146-3.pdf
Heat Pumps;Prof. Walter Grassi;2007;978-3-319-62199-9.pdf
Antenna Fundamentals for Legacy Mobile Applications and Beyond;Dr. Issa ElferganiDr. Abubakar Sadiq HussainiDr. Jonathan RodriguezProf. Raed Abd-Alhameed;2006;978-3-319-63967-3.pdf
Advanced Technologies in Practical Applications for National Security;Aleksander NawratDamian BereskaKarol Jè‡‹drasiak;2003;978-3-319-64674-9.pdf
Bio-Inspired Collaborative Intelligent Control and Optimization;Yongsheng DingLei ChenKuangrong Hao;2006;978-981-10-6689-4.pdf
